County,Counted Ballots
Alamance County,90230
Alexander County,20795
Alleghany County,6550
Anson County,10952
Ashe County,16379
Avery County,9554
Beaufort County,26688
Bertie County,9228
Bladen County,16858
Brunswick County,109833
Buncombe County,161285
Burke County,46000
Cabarrus County,120629
Caldwell County,43670
Camden County,6325
Carteret County,45997
Caswell County,12090
Catawba County,87485
Chatham County,52526
Cherokee County,17919
Chowan County,7589
Clay County,7760
Cleveland County,51867
Columbus County,26489
Craven County,56370
Cumberland County,140941
Currituck County,18103
Dare County,25298
Davidson County,93848
Davie County,26980
Duplin County,22981
Durham County,181739
Edgecombe County,24525
Forsyth County,205668
Franklin County,42848
Gaston County,119628
Gates County,5898
Graham County,4851
Granville County,32221
Greene County,8486
Guilford County,286373
Halifax County,24106
Harnett County,63962
Haywood County,38001
Henderson County,70296
Hertford County,9868
Hoke County,22870
Hyde County,2440
Iredell County,111257
Jackson County,22091
Johnston County,125160
Jones County,5484
Lee County,30198
Lenoir County,27600
Lincoln County,55756
McDowell County,23750
Macon County,22062
Madison County,13709
Martin County,12090
Mecklenburg County,580343
Mitchell County,8885
Montgomery County,13240
Moore County,62124
Nash County,52617
New Hanover County,139306
Northampton County,9258
Onslow County,81904
Orange County,88217
Pamlico County,8014
Pasquotank County,20422
Pender County,39019
Perquimans County,7706
Person County,22128
Pitt County,87505
Polk County,13116
Randolph County,76239
Richmond County,19938
Robeson County,47074
Rockingham County,49784
Rowan County,75642
Rutherford County,34802
Sampson County,28339
Scotland County,14701
Stanly County,36845
Stokes County,27296
Surry County,37666
Swain County,7093
Transylvania County,20929
Tyrrell County,1763
Union County,139913
Vance County,20171
Wake County,656878
Warren County,10092
Washington County,5974
Watauga County,33283
Wayne County,54950
Wilkes County,36501
Wilson County,40217
Yadkin County,20510
Yancey County,11441
