County,Local News Outlets,
Alamance County,3,
Alexander County,1,
Alleghany County,1,
Anson County,1,
Ashe County,1,
Avery County,1,
Beaufort County,1,
Bertie County,1,
Bladen County,2,
Brunswick County,2,
Buncombe County,10,
Burke County,2,
Cabarrus County,1,
Caldwell County,2,
Camden County,0,
Carteret County,2,
Caswell County,1,
Catawba County,2,
Chatham County,1,
Cherokee County,2,
Chowan County,1,
Clay County,1,
Cleveland County,2,
Columbus County,3,
Craven County,2,
Cumberland County,4,
Currituck County,0,
Dare County,1,
Davidson County,3,
Davie County,1,
Duplin County,2,
Durham County,7,
Edgecombe County,0,
Forsyth County,5,
Franklin County,1,
Gaston County,1,
Gates County,0,
Graham County,1,
Granville County,2,
Greene County,1,
Guilford County,8,
Halifax County,2,
Harnett County,1,
Haywood County,2,
Henderson County,3,
Hertford County,1,
Hoke County,1,
Hyde County,0,
Iredell County,4,
Jackson County,1,
Johnston County,2,
Jones County,0,
Lee County,1,
Lenoir County,3,
Lincoln County,1,
McDowell County,1,
Macon County,3,
Madison County,1,
Martin County,1,
Mecklenburg County,23,
Mitchell County,1,
Montgomery County,1,
Moore County,1,
Nash County,3,
New Hanover County,7,
Northampton County,0,
Onslow County,2,
Orange County,2,
Pamlico County,2,
Pasquotank County,1,
Pender County,1,
Perquimans County,1,
Person County,1,
Pitt County,1,
Polk County,1,
Randolph County,1,
Richmond County,2,
Robeson County,1,
Rockingham County,1,
Rowan County,1,
Rutherford County,1,
Sampson County,1,
Scotland County,1,
Stanly County,2,
Stokes County,1,
Surry County,2,
Swain County,1,
Transylvania County,1,
Tyrrell County,0,
Union County,2,
Vance County,1,
Wake County,13,
Warren County,1,
Washington County,1,
Watauga County,3,
Wayne County,1,
Wilkes County,1,
Wilson County,1,
Yadkin County,1,
Yancey County,1,
